sura,ayah,position,word,lemma,root
2,32,9,إِنَّ,إِنّ,
2,32,10,أَنتَ,,
2,32,11,ٱلْ,ال,
2,32,12,ٱلْ,ال,
2,33,1,قَالَ,قالَ,قول
2,33,2,ـَٔادَمُ,ي,أدم
2,33,3,أَنۢبِئْ,أَنۢبَأَ,نبأ
2,33,4,بِ,ب,
2,33,5,فَ,ف,
2,33,6,أَنۢبَأَ,أَنۢبَأَ,نبأ
2,33,7,بِ,ب,
2,33,8,قَالَ,قالَ,قول
2,33,9,أَ,أ,
2,33,10,أَقُل,قالَ,قول
2,33,11,لَّ,ل,
2,33,12,إِنِّ,إِنّ,
2,33,13,أَعْلَمُ,عَلِمَ,علم
2,33,14,غَيْبَ,غَيْب,
2,33,15,ٱل,ال,
2,33,16,وَ,و,
2,33,17,أَعْلَمُ,و,علم
2,33,18,مَا,ما,
2,33,19,تُبْدُ,يُبْدِيَ,بدو
2,33,20,وَ,و,
2,33,21,كُن,كانَ,كون
2,33,22,تَكْتُمُ,كَتَمَ,كتم
2,34,1,وَ,و,
2,34,2,قُلْ,قالَ,قول
2,34,3,لِ,ل,
2,34,4,ٱسْجُدُ,سَجَدَ,سجد
2,34,5,ءَادَمَ,ل,أدم
2,34,6,سَجَدُ,ف,سجد
2,34,7,إِلَّآ,إِلّا,
2,34,8,إِبْلِيسَ,إِبْلِيس,
2,34,9,أَبَىٰ,أَبَى,أبي
2,34,10,ٱسْتَكْبَرَ,و,كبر
2,34,11,كَانَ,و,كون
2,34,12,مِنَ,مِن,
2,34,13,كَٰفِرِينَ,ال,كفر
2,35,1,قُلْ,و,قول
2,35,2,ـَٔادَمُ,ي,أدم
2,35,3,ٱسْكُنْ,سَكَنَ,سكن
2,35,4,أَنتَ,,
2,35,5,وَ,و,
2,35,6,جَنَّةَ,ال,جنن
2,35,7,كُلَ,و,أكل
2,35,8,مِنْ,مِن,
2,35,9,رَغَدًا,رَغَد,
2,35,10,حَيْثُ,حَيْث,حيث
2,35,11,شِئْ,شاءَ,شيأ
2,35,12,وَ,و,
2,35,13,تَقْرَبَ,يَقْرَبُ,قرب
2,35,14,هَٰ,ه,
2,35,15,ٱل,ال,
2,35,16,تَكُونَ,ف,كون
2,35,17,مِنَ,مِن,
2,35,18,ظَّٰلِمِينَ,ال,ظلم
2,36,1,أَزَلَّ,ف,زلل
2,36,2,شَّيْطَٰنُ,ال,شطن
2,36,3,عَنْ,عَن,
2,36,4,أَخْرَجَ,ف,خرج
2,36,5,مِ,مِن,
2,36,6,كَانَ,كانَ,كون
2,36,7,فِي,فِي,
2,36,8,قُلْ,و,قول
2,36,9,ٱهْبِطُ,يَهْبِطُ,هبط
2,36,10,بَعْضُ,بَعْض,
2,36,11,لِ,ل,
2,36,12,عَدُوٌّ,عَدُوّ,
2,36,13,وَ,و,
2,36,14,فِى,فِي,
2,36,15,ٱلْ,ال,
2,36,16,مُسْتَقَرٌّ,مُسْتَقَرّ,قرر
2,36,17,وَ,و,
2,36,18,إِلَىٰ,إِلَى,
2,36,19,حِينٍ,حِين,
2,37,1,تَلَقَّىٰٓ,ف,لقي
2,37,2,ءَادَمُ,آدَم,أدم
2,37,3,مِن,مِن,
2,37,4,رَّبِّ,رَبّ,
2,37,5,كَلِمَٰتٍ,كَلِمَة,
2,37,6,تَابَ,ف,توب
2,37,7,عَلَيْ,عَلَى,
2,37,8,إِنَّ,إِنّ,
2,37,9,هُوَ,,
2,37,10,تَّوَّابُ,ال,توب
2,37,11,ٱل,ال,
2,38,1,قُلْ,قالَ,قول
2,38,2,ٱهْبِطُ,يَهْبِطُ,هبط
2,38,3,مِنْ,مِن,
2,38,4,جَمِيعًا,جَمِيع,
2,38,5,فَ,ف,
2,38,6,يَأْتِيَ,أَتَى,أتي
2,38,7,مِّنِّ,مِن,
2,38,8,هُدًى,هُدًى,
2,38,9,فَ,ف,
2,38,10,تَبِعَ,تَبِعَ,تبع
2,38,11,هُدَا,هُدًى,
2,38,12,فَ,ف,
2,38,13,خَوْفٌ,خَوْف,
2,38,14,عَلَيْ,عَلَى,
2,38,15,وَ,و,
2,38,16,هُمْ,,
2,38,17,يَحْزَنُ,يَحْزُن,حزن
2,39,1,وَ,و,
2,39,2,كَفَرُ,كَفَرَ,كفر
2,39,3,كَذَّبُ,و,كذب
2,39,4,بِ,ب,
2,39,5,أُو۟لَٰٓئِ,ذا,
2,39,6,أَصْحَٰبُ,أَصْحاب,
2,39,7,ٱل,ال,
2,39,8,هُمْ,,
2,39,9,فِي,فِي,
2,39,10,خَٰلِدُونَ,خالِد,خلد
2,40,1,يَٰ,ي,
2,40,2,إِسْرَٰٓءِيلَ,إِسْرائِيل,
2,40,3,ٱذْكُرُ,ذَكَرَ,ذكر
2,40,4,نِعْمَتِ,نِعْمَة,
2,40,5,ٱلَّتِىٓ,الَّذِي,
2,40,6,أَنْعَمْ,أَنْعَمَ,نعم
2,40,7,عَلَيْ,عَلَى,
2,40,8,أَوْفُ,و,وفي
2,40,9,بِ,ب,
2,40,10,أُوفِ,أَوْفَى,وفي
2,40,11,بِ,ب,
2,40,12,وَ,و,
2,40,13,ٱرْهَبُ,ف,رهب
2,41,1,ءَامِنُ,و,أمن
2,41,2,بِ,ب,
2,41,3,أَنزَلْ,أَنزَلَ,نزل
2,41,4,مُصَدِّقًا,مُصَدِّق,صدق
2,41,5,لِّ,ل,
2,41,6,مَعَ,مَع,
2,41,7,وَ,و,
2,41,8,تَكُونُ,كانَ,كون
2,41,9,أَوَّلَ,أَوَّل,
2,41,10,كَافِرٍۭ,كافِر,
2,41,11,بِ,ب,
2,41,12,وَ,و,
2,41,13,تَشْتَرُ,اشْتَرَى,شري
2,41,14,بِ,ب,
2,41,15,ثَمَنًا,ثَمَن,
2,41,16,قَلِيلًا,قَلِيل,
2,41,17,وَ,و,
2,41,18,ٱتَّقُ,ف,وقي
2,42,1,وَ,و,
2,42,2,تَلْبِسُ,لَبَسْ,لبس
2,42,3,ٱلْ,ال,
2,42,4,بَٰطِلِ,ب,بطل
2,42,5,تَكْتُمُ,و,كتم
2,42,6,ٱلْ,ال,
2,42,7,وَ,و,
2,42,8,تَعْلَمُ,عَلِمَ,علم
2,43,1,أَقِيمُ,و,قوم
2,43,2,ٱل,ال,
2,43,3,ءَاتُ,و,أتي
2,43,4,ٱل,ال,
2,43,5,ٱرْكَعُ,و,ركع
2,43,6,مَعَ,مَع,
2,43,7,رَّٰكِعِينَ,ال,ركع
2,44,1,تَأْمُرُ,أ,أمر
2,44,2,ٱل,ال,
2,44,3,بِ,ب,
2,44,4,تَنسَ,و,نسي
2,44,5,أَنفُسَ,نَفْس,
2,44,6,وَ,و,
2,44,7,تَتْلُ,تَلَى,تلو
2,44,8,ٱلْ,ال,
2,44,9,أَ,أ,
2,44,10,تَعْقِلُ,عَقَلُ,عقل
2,45,1,ٱسْتَعِينُ,و,عون
2,45,2,بِ,ب,
2,45,3,وَ,و,
2,45,4,وَ,و,
2,45,5,لَ,ل,
2,45,6,إِلَّا,إِلّا,
2,45,7,عَلَى,عَلَى,
2,45,8,خَٰشِعِينَ,ال,خشع
2,46,1,ٱلَّذِينَ,الَّذِي,
2,46,2,يَظُنُّ,ظَنَّ,ظنن
